OutageKey,PlantKey,AssetKey,OutageStartDateTime,OutageEndDateTime,OutageType,DurationHours,EstimatedEnergyLostMWh,RootCauseCategory,IsSynthetic
43,8,23,2024-06-18T09:00:00,2024-06-18T20:43:33.425451188,Planned,11.726,175.889,Routine maintenance,1
44,8,24,2024-10-13T03:00:00,2024-10-13T05:28:57.595872864,Forced,2.483,37.24,Equipment trip / protection event,1
45,8,23,2025-11-24T08:00:00,2025-11-24T12:26:11.056968615,Planned,4.436,66.546,Routine maintenance,1
46,8,25,2025-09-16T07:00:00,2025-09-16T14:31:55.026061559,Planned,7.532,112.979,Routine maintenance,1
47,8,23,2025-02-12T02:00:00,2025-02-12T06:17:42.062714216,Planned,4.295,64.425,Routine maintenance,1
48,8,24,2024-12-27T14:00:00,2024-12-28T00:48:58.552458805,Planned,10.816,162.244,Routine maintenance,1
49,9,28,2025-12-06T21:00:00,2025-12-06T22:56:17.847350801,Forced,1.938,80.245,Equipment trip / protection event,1
50,9,26,2025-11-16T15:00:00,2025-11-16T22:59:58.148024890,Planned,7.999,331.179,Routine maintenance,1
51,9,28,2025-01-16T19:00:00,2025-01-16T21:53:29.824150316,Forced,2.892,119.713,Equipment trip / protection event,1
52,9,28,2025-07-24T00:00:00,2025-07-24T07:53:38.832348629,Forced,7.894,326.817,Equipment trip / protection event,1
53,9,27,2025-06-03T15:00:00,2025-06-03T16:31:08.385022158,Forced,1.519,62.886,Equipment trip / protection event,1
54,9,28,2025-03-22T03:00:00,2025-03-22T06:35:08.803857819,Planned,3.586,148.451,Routine maintenance,1
55,9,26,2025-04-12T13:00:00,2025-04-12T14:31:48.134589811,Planned,1.53,63.344,Routine maintenance,1
56,9,26,2024-06-03T15:00:00,2024-06-03T16:28:16.085252398,Planned,1.471,60.905,Routine maintenance,1
57,9,28,2025-11-14T17:00:00,2025-11-14T23:37:33.242178671,Forced,6.626,274.312,Equipment trip / protection event,1
58,10,31,2025-04-03T06:00:00,2025-04-03T10:38:01.873519916,Forced,4.634,37.534,Equipment trip / protection event,1
59,10,29,2024-09-05T23:00:00,2024-09-06T06:04:28.163301793,Planned,7.074,57.303,Routine maintenance,1
60,10,29,2024-03-27T17:00:00,2024-03-28T03:08:43.446093931,Planned,10.145,82.178,Routine maintenance,1
61,10,29,2025-04-16T06:00:00,2025-04-16T12:17:19.412930307,Forced,6.289,50.939,Equipment trip / protection event,1
62,10,31,2024-04-12T10:00:00,2024-04-12T14:06:50.977650328,Planned,4.114,33.325,Routine maintenance,1
63,10,31,2025-04-26T19:00:00,2025-04-27T04:46:58.473875194,Planned,9.783,79.242,Routine maintenance,1
64,10,31,2025-10-04T17:00:00,2025-10-04T21:43:34.202545981,Forced,4.726,38.282,Equipment trip / protection event,1
65,10,30,2025-06-17T05:00:00,2025-06-17T05:58:51.389703351,Forced,0.981,7.946,Equipment trip / protection event,1
66,11,34,2024-09-23T05:00:00,2024-09-23T11:30:06.170948537,Planned,6.502,21.456,Routine maintenance,1
67,11,32,2024-05-11T14:00:00,2024-05-11T18:40:25.443280124,Planned,4.674,15.423,Routine maintenance,1
68,11,34,2024-05-12T04:00:00,2024-05-12T07:20:15.307407283,Forced,3.338,11.014,Equipment trip / protection event,1
69,11,34,2025-03-21T15:00:00,2025-03-22T02:57:38.563822062,Forced,11.961,39.47,Equipment trip / protection event,1
70,11,32,2024-09-21T19:00:00,2024-09-22T09:33:00.376321676,Planned,14.55,48.015,Routine maintenance,1
71,11,32,2024-07-07T19:00:00,2024-07-07T23:42:48.648893993,Forced,4.714,15.555,Equipment trip / protection event,1
72,12,36,2024-08-16T00:00:00,2024-08-16T01:21:29.332752248,Planned,1.358,190.684,Routine maintenance,1
73,12,35,2025-05-12T07:00:00,2025-05-12T09:10:42.486460001,Forced,2.178,305.857,Equipment trip / protection event,1
74,12,36,2024-10-26T17:00:00,2024-10-26T23:51:20.895792657,Planned,6.856,962.555,Routine maintenance,1
75,12,35,2025-01-11T13:00:00,2025-01-11T16:36:12.781754811,Forced,3.604,505.938,Equipment trip / protection event,1
76,12,36,2025-04-19T20:00:00,2025-04-19T22:58:39.910001147,Planned,2.978,418.076,Routine maintenance,1
77,12,35,2025-11-30T04:00:00,2025-11-30T11:51:09.277094445,Forced,7.853,1102.502,Equipment trip / protection event,1
78,12,36,2024-06-28T09:00:00,2024-06-28T12:30:38.045258824,Planned,3.511,492.884,Routine maintenance,1
79,13,40,2025-06-04T16:00:00,2025-06-04T20:22:07.396981051,Planned,4.369,68.152,Routine maintenance,1
80,13,38,2024-05-29T00:00:00,2024-05-29T05:27:58.496660908,Forced,5.466,85.273,Equipment trip / protection event,1
81,13,38,2024-06-25T08:00:00,2024-06-25T09:29:43.164845394,Forced,1.495,23.327,Equipment trip / protection event,1
82,13,39,2025-06-07T01:00:00,2025-06-07T03:30:01.454787832,Planned,2.5,39.006,Routine maintenance,1
83,13,38,2025-02-07T03:00:00,2025-02-08T01:01:02.381272448,Planned,22.017,343.47,Routine maintenance,1
84,14,43,2024-10-23T10:00:00,2024-10-23T15:24:02.056472811,Forced,5.401,66.427,Equipment trip / protection event,1
85,14,43,2024-08-30T18:00:00,2024-08-31T00:59:35.919009560,Forced,6.993,86.018,Equipment trip / protection event,1
86,14,43,2024-05-07T01:00:00,2024-05-07T05:53:45.854112404,Forced,4.896,60.222,Equipment trip / protection event,1
87,14,43,2025-10-04T19:00:00,2025-10-04T23:22:48.665413183,Planned,4.38,53.876,Routine maintenance,1
88,14,41,2025-06-07T20:00:00,2025-06-08T13:15:45.711063080,Planned,17.263,212.331,Routine maintenance,1
89,14,41,2025-12-12T20:00:00,2025-12-13T02:46:20.260778431,Planned,6.772,83.299,Routine maintenance,1
90,14,43,2024-04-24T07:00:00,2024-04-24T10:10:31.472138156,Planned,3.175,39.058,Routine maintenance,1
91,14,42,2024-10-28T12:00:00,2024-10-28T13:39:12.464366068,Planned,1.653,20.338,Routine maintenance,1
92,14,42,2025-09-06T02:00:00,2025-09-06T06:37:30.146944632,Planned,4.625,56.888,Routine maintenance,1
93,15,44,2024-12-02T10:00:00,2024-12-02T12:40:52.299953021,Forced,2.681,331.128,Equipment trip / protection event,1
94,15,44,2024-10-19T08:00:00,2024-10-19T17:00:40.833654892,Planned,9.011,1112.901,Routine maintenance,1
95,15,46,2025-06-30T09:00:00,2025-06-30T14:43:34.095399570,Planned,5.726,707.178,Routine maintenance,1
96,15,45,2024-02-01T02:00:00,2024-02-01T04:16:04.093668777,Planned,2.268,280.074,Routine maintenance,1
97,15,44,2024-06-25T11:00:00,2024-06-25T17:02:15.334872027,Planned,6.038,745.643,Routine maintenance,1
98,15,46,2025-06-03T10:00:00,2025-06-03T13:13:46.267239765,Planned,3.23,398.846,Routine maintenance,1
99,15,45,2024-07-17T01:00:00,2024-07-17T05:58:39.479967518,Planned,4.978,614.738,Routine maintenance,1
100,16,47,2025-12-08T10:00:00,2025-12-08T13:10:30.522966952,Planned,3.175,29.529,Routine maintenance,1
101,16,47,2024-12-04T11:00:00,2024-12-04T12:28:03.359664807,Forced,1.468,13.649,Equipment trip / protection event,1
102,16,47,2025-10-10T03:00:00,2025-10-10T05:42:59.748898303,Planned,2.717,25.264,Routine maintenance,1
103,16,47,2025-09-06T09:00:00,2025-09-06T09:30:00,Forced,0.5,4.65,Equipment trip / protection event,1
104,16,47,2024-05-09T06:00:00,2024-05-09T09:53:26.734324282,Forced,3.891,36.184,Equipment trip / protection event,1
105,16,49,2025-10-12T15:00:00,2025-10-12T20:03:28.907632460,Forced,5.058,47.04,Equipment trip / protection event,1
106,16,47,2024-01-14T10:00:00,2024-01-14T16:29:32.665930331,Planned,6.492,60.379,Routine maintenance,1
107,17,50,2025-11-04T05:00:00,2025-11-04T06:07:20.263483240,Planned,1.122,8.417,Routine maintenance,1
108,17,51,2024-05-24T03:00:00,2024-05-24T07:52:50.323133015,Planned,4.881,36.605,Routine maintenance,1
109,17,51,2024-05-25T11:00:00,2024-05-25T16:09:39.753580984,Forced,5.161,38.708,Equipment trip / protection event,1
110,17,50,2025-10-11T00:00:00,2025-10-11T03:05:49.375682753,Forced,3.097,23.228,Equipment trip / protection event,1
