WorkOrderKey,PlantKey,AssetKey,OpenedDate,ClosedDate,WorkOrderType,Priority,WorkOrderStatus,LabourHours,MaterialCostZAR,LabourCostZAR,TotalMaintenanceCostZAR,IsSynthetic
111,10,29,2024-06-04,2024-06-07,Inspection,Medium,Completed,6.92,1170.04,4501.19,5671.23,1
112,10,29,2025-09-13,2025-09-17,Preventive,Low,Completed,17.32,3083.98,10236.11,13320.09,1
113,10,30,2025-08-29,2025-09-05,Corrective,Medium,Completed,20.52,12159.14,12124.97,24284.11,1
114,10,30,2024-05-25,2024-05-28,Preventive,Low,Completed,10.15,4068.44,8378.87,12447.31,1
115,10,30,2024-09-03,2024-09-06,Corrective,Low,Closed,6.39,1620.36,4042.08,5662.44,1
116,10,31,2024-12-30,2025-01-01,Corrective,High,Completed,9.17,18548.05,6688.44,25236.49,1
117,10,29,2024-05-03,2024-05-04,Preventive,High,Completed,16.01,19528.13,11207.01,30735.14,1
118,10,29,2024-06-01,2024-06-02,Preventive,High,Completed,15.1,5638.12,10339.34,15977.46,1
119,10,31,2024-05-18,,Predictive,Medium,In Progress,21.67,10511.11,15940.98,26452.08,1
120,10,31,2025-11-24,,Preventive,Medium,In Progress,16.94,2046.32,12197.52,14243.84,1
121,10,29,2024-01-28,,Corrective,High,Open,10.37,2737.1,4978.04,7715.14,1
122,10,29,2024-02-21,2024-02-24,Inspection,Critical,Completed,11.6,886.98,7197.67,8084.65,1
123,10,31,2024-09-26,2024-10-01,Predictive,Medium,Completed,12.03,4881.1,7082.45,11963.55,1
124,10,31,2025-06-08,2025-06-10,Preventive,Medium,Closed,10.38,446.83,6469.87,6916.7,1
125,11,33,2025-02-21,2025-03-06,Predictive,Medium,Closed,14.39,6568.31,10631.18,17199.49,1
126,11,34,2025-07-06,2025-07-09,Preventive,Medium,Completed,1.0,1970.42,734.69,2705.1,1
127,11,34,2025-01-11,2025-01-12,Predictive,High,Completed,11.8,883.57,7005.98,7889.55,1
128,11,34,2024-10-13,2024-10-27,Inspection,Low,Completed,1.0,1654.69,688.58,2343.28,1
129,11,33,2025-06-27,2025-07-01,Preventive,Medium,Closed,7.56,1871.0,4587.64,6458.64,1
130,11,33,2025-09-15,2025-09-25,Inspection,High,Completed,3.37,5409.55,1911.44,7320.98,1
131,11,32,2024-02-28,2024-03-08,Preventive,Low,Completed,11.55,2332.01,7106.96,9438.98,1
132,11,33,2025-10-30,2025-11-11,Predictive,Low,Completed,17.61,501.78,11581.64,12083.42,1
133,11,34,2025-09-27,,Preventive,High,In Progress,1.0,1542.76,536.71,2079.47,1
134,11,33,2025-09-04,2025-09-09,Corrective,Medium,Closed,1.0,23870.59,723.1,24593.68,1
135,11,32,2024-06-16,2024-06-24,Preventive,Medium,Completed,8.99,4123.57,4974.85,9098.41,1
136,11,34,2025-12-18,2025-12-19,Preventive,High,Completed,24.01,3466.15,17178.1,20644.25,1
137,11,33,2024-11-30,2024-12-04,Preventive,Critical,Completed,6.47,1660.38,4745.01,6405.38,1
138,11,32,2024-02-17,,Preventive,High,Open,19.18,5965.7,10565.7,16531.4,1
139,12,36,2025-02-12,2025-02-14,Preventive,Low,Completed,1.0,3294.61,640.15,3934.77,1
140,12,36,2024-04-05,,Inspection,Low,Open,10.96,3327.19,6271.01,9598.21,1
141,12,35,2024-09-21,2024-09-22,Corrective,Low,Completed,14.59,3851.39,8146.34,11997.73,1
142,12,36,2025-02-06,2025-02-10,Preventive,Medium,Completed,21.08,3315.93,16924.04,20239.97,1
143,12,37,2024-07-21,2024-07-25,Corrective,Medium,Completed,16.76,1547.69,10691.38,12239.07,1
144,12,37,2025-05-16,,Corrective,High,In Progress,20.28,5250.41,10073.32,15323.73,1
145,12,36,2024-05-04,2024-05-12,Inspection,Medium,Closed,18.13,3492.91,12939.2,16432.11,1
146,12,37,2025-11-03,2025-11-08,Preventive,Medium,Closed,9.05,14221.3,5749.48,19970.78,1
147,13,39,2025-05-08,2025-05-20,Corrective,Medium,Closed,14.84,4882.35,9875.51,14757.86,1
148,13,38,2024-03-24,2024-04-02,Inspection,Medium,Closed,11.88,2875.27,7178.98,10054.25,1
149,13,39,2025-01-26,2025-01-28,Corrective,Medium,Completed,9.95,1603.45,4889.29,6492.74,1
150,13,40,2024-02-12,2024-02-21,Preventive,High,Completed,12.49,6421.96,9452.1,15874.06,1
151,13,38,2024-05-23,2024-06-08,Corrective,Medium,Completed,6.94,969.25,4301.38,5270.62,1
152,13,39,2025-01-20,2025-01-25,Preventive,Medium,Closed,31.47,2178.9,27619.97,29798.87,1
153,13,39,2024-06-09,2024-06-23,Preventive,Low,Closed,11.49,1926.32,7525.62,9451.94,1
154,13,38,2024-03-06,2024-03-18,Predictive,Medium,Completed,17.38,8034.49,11349.67,19384.16,1
155,13,38,2024-11-01,2024-11-15,Preventive,Critical,Closed,3.39,1553.37,2360.4,3913.76,1
156,13,40,2025-09-04,2025-09-06,Corrective,Medium,Completed,11.49,5816.22,8081.28,13897.5,1
157,13,38,2025-09-10,,Inspection,High,Open,11.29,3561.3,8335.28,11896.58,1
158,13,38,2025-03-22,2025-03-24,Predictive,Medium,Completed,7.81,16406.41,5473.71,21880.12,1
159,14,43,2024-02-01,,Preventive,Medium,Open,14.29,2194.34,6800.33,8994.67,1
160,14,42,2025-02-19,2025-02-22,Predictive,Medium,Closed,13.29,6733.47,8206.8,14940.27,1
161,14,41,2025-08-04,,Preventive,Medium,Open,9.95,3132.05,6200.93,9332.98,1
162,14,41,2024-08-17,2024-08-21,Predictive,Low,Completed,14.91,7958.22,9552.51,17510.73,1
163,14,42,2025-03-26,2025-04-02,Inspection,Low,Completed,12.94,1666.81,9856.38,11523.19,1
164,14,42,2025-08-31,,Preventive,Critical,Open,6.32,2902.58,3396.03,6298.62,1
165,14,41,2024-08-15,,Preventive,Medium,Open,19.04,7015.38,9816.79,16832.17,1
166,14,43,2025-08-25,2025-09-06,Preventive,Medium,Completed,11.41,7359.58,7469.89,14829.47,1
167,14,42,2025-09-25,2025-09-28,Inspection,Low,Completed,11.11,1213.28,7747.41,8960.69,1
168,15,45,2024-07-22,2024-07-26,Predictive,Low,Completed,3.93,3310.53,2598.18,5908.71,1
169,15,44,2024-07-16,2024-07-20,Inspection,High,Closed,16.53,3746.47,11304.18,15050.66,1
170,15,44,2024-02-08,2024-02-10,Preventive,Low,Completed,4.16,6036.51,2666.76,8703.27,1
171,15,46,2025-07-25,,Preventive,Medium,Open,14.76,1772.03,8242.13,10014.16,1
172,15,44,2024-01-10,2024-01-20,Inspection,Medium,Completed,14.32,6096.02,8974.17,15070.19,1
173,15,45,2025-08-31,2025-09-06,Preventive,High,Closed,18.89,9252.16,13646.89,22899.05,1
174,15,44,2024-10-16,2024-10-21,Preventive,Medium,Completed,15.6,10041.69,11271.47,21313.17,1
175,15,45,2024-03-02,2024-03-05,Preventive,Medium,Closed,18.65,14614.64,10259.81,24874.45,1
176,15,44,2025-10-31,2025-11-07,Preventive,Medium,Completed,8.62,2901.48,6813.19,9714.67,1
177,15,45,2024-11-16,,Preventive,Critical,In Progress,15.35,447.56,7604.35,8051.91,1
178,15,44,2024-12-26,2024-12-28,Preventive,Low,Closed,6.52,7289.66,3846.56,11136.22,1
179,15,46,2024-08-22,,Preventive,High,Open,7.23,411.61,4792.45,5204.07,1
180,15,44,2025-06-24,2025-06-28,Predictive,Low,Completed,13.78,4466.87,8080.46,12547.33,1
181,15,46,2025-12-12,2025-12-16,Preventive,Low,Completed,3.3,1908.74,2027.81,3936.55,1
182,15,44,2024-09-09,2024-09-12,Corrective,Medium,Completed,21.0,4797.77,17662.61,22460.38,1
183,15,44,2024-09-12,2024-09-15,Corrective,Medium,Completed,12.69,18472.43,9781.12,28253.54,1
184,15,46,2024-06-27,2024-06-30,Predictive,Low,Completed,6.32,2702.03,4222.26,6924.29,1
185,16,48,2025-04-21,,Preventive,Medium,Open,10.65,2371.96,6004.17,8376.13,1
186,16,48,2025-12-05,2025-12-13,Corrective,Low,Completed,17.35,4443.93,11897.51,16341.44,1
187,16,47,2025-03-24,2025-04-05,Preventive,Medium,Completed,4.15,2556.27,3012.39,5568.66,1
188,16,47,2024-11-24,2024-11-28,Preventive,Medium,Completed,14.35,3090.86,10669.32,13760.18,1
189,16,49,2024-09-25,2024-09-26,Inspection,Medium,Completed,9.66,3819.78,7134.32,10954.1,1
190,16,49,2025-12-22,,Predictive,Medium,In Progress,4.02,999.13,3192.8,4191.94,1
191,16,48,2025-01-14,2025-01-17,Preventive,High,Completed,9.24,3427.37,5174.78,8602.15,1
192,16,47,2025-11-04,2025-11-07,Preventive,Medium,Completed,11.48,3606.59,6631.03,10237.62,1
193,16,49,2025-03-21,2025-03-24,Inspection,Medium,Completed,11.16,8565.37,5986.24,14551.61,1
194,16,47,2025-08-29,2025-08-30,Corrective,Medium,Closed,22.03,2393.43,16827.4,19220.83,1
195,16,49,2024-09-27,,Inspection,High,Open,11.79,1545.93,9091.3,10637.23,1
196,16,49,2025-03-23,2025-03-30,Preventive,High,Completed,2.7,2164.14,1521.07,3685.2,1
197,16,49,2025-06-06,2025-06-08,Inspection,Critical,Closed,11.89,789.8,7615.59,8405.39,1
198,17,51,2025-11-15,2025-11-17,Preventive,Medium,Completed,26.02,4586.78,15829.4,20416.17,1
199,17,52,2025-06-19,2025-06-24,Preventive,Medium,Closed,15.28,14967.47,10320.58,25288.05,1
200,17,51,2024-04-03,2024-04-16,Preventive,Medium,Closed,27.12,1830.47,14877.51,16707.98,1
201,17,50,2024-05-21,2024-05-28,Preventive,Medium,Completed,17.82,1808.31,10872.32,12680.63,1
202,17,50,2025-12-23,2025-12-25,Preventive,High,Completed,20.57,2143.97,14310.41,16454.38,1
203,17,52,2024-06-18,,Corrective,Medium,Open,11.05,7887.88,6495.58,14383.46,1
204,17,50,2024-12-22,2024-12-28,Corrective,Critical,Closed,3.67,4612.51,2090.41,6702.92,1
205,17,52,2025-10-29,2025-11-11,Predictive,High,Closed,3.49,3571.71,2034.92,5606.62,1
206,17,51,2024-06-23,2024-06-28,Preventive,Low,Completed,9.91,1365.65,6138.78,7504.43,1
207,17,52,2025-03-30,2025-04-09,Preventive,Medium,Completed,1.0,3846.9,569.67,4416.57,1
