DateKey,PlantKey,EnergyChargedMWh,EnergyDischargedMWh,RoundTripEfficiencyPct,MinimumStateOfChargePct,MaximumStateOfChargePct,IsSynthetic
20240302,5,5.296,4.426,83.564,21.38,87.15,1
20240303,5,4.661,3.868,82.987,5.0,100.0,1
20240304,5,4.117,3.643,88.487,22.98,89.85,1
20240305,5,5.287,4.698,88.855,21.4,92.29,1
20240306,5,4.421,3.709,83.896,27.47,96.44,1
20240307,5,4.773,4.236,88.746,12.13,92.43,1
20240308,5,4.021,3.652,90.822,27.31,93.6,1
20240309,5,5.572,4.859,87.218,17.76,95.29,1
20240310,5,2.703,2.476,91.586,33.46,94.63,1
20240311,5,4.037,3.66,90.655,14.42,89.64,1
20240312,5,7.48,6.153,82.267,27.44,92.45,1
20240313,5,2.822,2.452,86.905,12.7,96.21,1
20240314,5,5.067,4.36,86.056,25.23,97.92,1
20240315,5,4.095,3.269,79.812,23.83,94.63,1
20240316,5,5.3,4.75,89.619,17.0,93.63,1
20240317,5,3.751,3.321,88.527,22.07,91.58,1
20240318,5,3.625,3.156,87.068,14.76,92.79,1
20240319,5,2.96,2.671,90.25,19.45,87.19,1
20240320,5,5.263,4.872,92.572,25.1,100.0,1
20240321,5,3.774,3.299,87.411,18.19,93.61,1
20240322,5,4.805,4.422,92.038,23.06,92.91,1
20240323,5,3.26,2.925,89.733,24.06,85.69,1
20240324,5,4.389,3.692,84.135,20.83,91.25,1
20240325,5,3.121,2.673,85.633,22.62,90.78,1
20240326,5,2.193,1.966,89.645,23.81,91.34,1
20240327,5,5.089,4.7,92.347,12.39,94.0,1
20240328,5,5.122,4.597,89.745,15.7,89.56,1
20240329,5,1.71,1.546,90.442,15.51,91.74,1
20240330,5,3.376,2.928,86.716,19.23,94.02,1
20240331,5,4.177,3.53,84.517,14.12,90.88,1
20240401,5,4.304,3.875,90.024,26.61,90.05,1
20240402,5,3.873,3.215,82.996,15.2,91.29,1
20240403,5,8.648,7.501,86.741,18.21,86.06,1
20240404,5,4.304,3.637,84.503,20.83,93.44,1
20240405,5,4.597,4.009,87.2,14.88,90.53,1
20240406,5,2.962,2.739,92.455,12.87,100.0,1
20240407,5,3.777,3.201,84.755,12.92,95.56,1
20240408,5,5.338,4.766,89.284,24.8,91.39,1
20240409,5,4.08,3.591,88.007,5.79,87.13,1
20240410,5,5.772,4.972,86.145,16.24,96.63,1
20240411,5,4.369,3.872,88.618,9.92,89.84,1
20240412,5,3.454,2.941,85.15,23.58,91.87,1
20240413,5,3.629,3.183,87.701,14.03,92.96,1
20240414,5,4.962,4.531,91.301,17.75,93.57,1
20240415,5,3.491,3.06,87.644,15.07,88.99,1
20240416,5,4.353,3.804,87.376,15.06,96.13,1
20240417,5,4.966,4.301,86.606,21.03,88.36,1
20240418,5,5.003,4.312,86.2,23.6,79.5,1
20240419,5,5.433,4.969,91.463,18.07,96.83,1
20240420,5,4.0,3.305,82.625,15.75,92.54,1
20240421,5,3.561,2.988,83.924,11.27,87.88,1
20240422,5,5.692,5.199,91.347,24.12,89.03,1
20240423,5,4.623,4.272,92.405,21.16,94.39,1
20240424,5,4.794,4.115,85.835,19.02,86.72,1
20240425,5,4.386,4.201,95.798,13.78,94.99,1
20240426,5,4.399,3.822,86.895,11.44,91.84,1
20240427,5,5.589,4.852,86.814,14.98,94.62,1
20240428,5,4.023,3.612,89.78,22.94,83.72,1
20240429,5,6.264,5.785,92.351,19.51,89.2,1
20240430,5,3.965,3.312,83.541,10.72,92.35,1
20240501,5,5.219,4.721,90.456,20.56,97.16,1
20240502,5,4.004,3.5,87.433,25.31,92.49,1
20240503,5,6.268,5.5,87.748,15.42,95.93,1
20240504,5,5.024,4.368,86.952,13.89,92.98,1
20240505,5,2.796,2.356,84.261,12.43,94.33,1
20240506,5,4.091,3.709,90.671,13.1,96.48,1
20240507,5,1.62,1.386,85.589,21.36,92.8,1
20240508,5,3.084,2.551,82.7,15.4,88.37,1
20240509,5,7.005,6.188,88.329,23.5,94.59,1
20240510,5,3.961,3.497,88.301,21.03,93.01,1
20240511,5,4.346,3.96,91.132,16.58,96.41,1
20240512,5,5.411,4.825,89.168,22.48,100.0,1
20240513,5,4.963,4.283,86.292,20.64,87.86,1
20240514,5,2.45,2.275,92.872,12.85,83.76,1
20240515,5,5.7,5.01,87.894,14.56,92.73,1
20240516,5,4.347,3.914,90.053,16.69,88.67,1
20240517,5,4.506,3.929,87.188,20.3,95.0,1
20240518,5,4.374,3.626,82.882,13.38,96.73,1
20240519,5,6.631,5.667,85.465,21.18,93.02,1
20240520,5,4.264,3.792,88.936,27.45,90.87,1
20240521,5,4.743,4.157,87.651,23.66,92.98,1
20240522,5,4.969,4.4,88.55,23.78,86.26,1
20240523,5,4.92,4.264,86.664,24.95,93.31,1
20240524,5,5.358,5.032,93.906,8.35,95.5,1
20240525,5,6.013,4.977,82.77,22.43,97.4,1
20240526,5,6.516,5.821,89.329,24.19,93.14,1
20240527,5,3.088,2.721,88.121,15.85,91.08,1
20240528,5,3.815,3.375,88.474,25.44,94.87,1
20240529,5,4.158,3.613,86.897,25.32,80.72,1
20240530,5,2.87,2.567,89.441,22.95,93.17,1
20240531,5,3.445,3.09,89.722,19.16,98.51,1
20240601,5,3.449,2.883,83.598,15.8,97.96,1
20240602,5,4.211,4.025,95.586,23.73,95.69,1
20240603,5,6.47,5.391,83.32,26.35,98.14,1
20240604,5,3.965,3.578,90.256,14.46,95.87,1
20240605,5,5.597,4.819,86.094,18.81,100.0,1
20240606,5,5.181,4.306,83.117,24.1,93.58,1
20240607,5,3.426,2.962,86.433,12.23,89.16,1
20240608,5,2.946,2.683,91.088,9.08,86.94,1
20240609,5,3.861,3.404,88.151,13.56,94.32,1
20240610,5,3.794,3.4,89.623,24.22,95.62,1
20240611,5,5.075,4.214,83.027,24.27,88.5,1
20240612,5,6.625,5.813,87.737,13.0,91.3,1
20240613,5,6.204,5.263,84.825,17.59,99.85,1
20240614,5,3.468,2.866,82.651,17.37,90.92,1
20240615,5,4.117,3.624,88.015,21.09,97.54,1
20240616,5,4.734,4.328,91.425,21.57,88.33,1
20240617,5,5.333,4.933,92.499,13.67,86.52,1
20240618,5,3.528,3.155,89.435,20.84,92.9,1
20240619,5,1.972,1.822,92.417,20.76,92.94,1
20240620,5,4.944,4.258,86.117,18.38,94.07,1
20240621,5,4.576,4.094,89.48,11.2,91.59,1
20240622,5,4.282,3.977,92.875,18.47,89.79,1
20240623,5,5.501,5.191,94.358,11.86,90.98,1
20240624,5,5.307,4.541,85.563,21.03,93.18,1
20240625,5,3.925,3.422,87.184,23.46,95.28,1
20240626,5,4.553,4.03,88.506,18.59,87.5,1
20240627,5,4.03,3.556,88.236,12.37,97.67,1
20240628,5,5.91,5.236,88.584,13.66,91.89,1
20240629,5,4.835,4.57,94.514,8.22,81.81,1
20240630,5,4.288,3.815,88.981,20.26,95.76,1
20240701,5,2.537,2.279,89.848,22.43,91.31,1
20240702,5,3.639,3.036,83.404,20.46,90.2,1
20240703,5,4.96,4.367,88.051,17.34,89.55,1
20240704,5,6.278,6.005,95.656,23.13,93.7,1
20240705,5,3.627,3.339,92.06,11.67,90.6,1
20240706,5,5.883,5.193,88.269,22.13,97.58,1
20240707,5,2.948,2.61,88.554,24.32,88.41,1
20240708,5,4.603,3.96,86.025,23.83,83.88,1
20240709,5,4.089,3.566,87.215,13.58,93.94,1
20240710,5,2.678,2.372,88.579,17.62,88.28,1
20240711,5,3.462,2.905,83.922,18.51,85.43,1
20240712,5,5.816,5.289,90.934,25.12,92.1,1
20240713,5,3.857,3.489,90.456,14.37,90.03,1
20240714,5,5.472,4.886,89.298,10.56,94.52,1
20240715,5,5.735,5.163,90.031,20.91,90.39,1
20240716,5,5.815,4.989,85.792,16.56,89.08,1
20240717,5,1.834,1.632,88.99,20.85,95.64,1
20240718,5,5.075,4.622,91.07,10.14,91.6,1
20240719,5,4.655,4.278,91.904,16.14,93.44,1
20240720,5,5.441,4.851,89.158,18.6,91.14,1
20240721,5,4.119,3.701,89.845,19.65,88.4,1
20240722,5,5.543,4.918,88.714,18.35,93.0,1
20240723,5,5.142,4.469,86.922,13.5,91.48,1
20240724,5,4.176,3.424,81.986,21.08,92.11,1
20240725,5,4.42,4.011,90.764,17.92,97.34,1
20240726,5,3.304,3.016,91.274,20.24,95.56,1
20240727,5,3.871,3.45,89.134,14.33,90.75,1
20240728,5,4.931,4.195,85.08,19.41,95.02,1
20240729,5,4.366,3.837,87.875,12.93,87.71,1
20240730,5,6.579,5.76,87.547,22.59,86.3,1
20240731,5,3.271,2.935,89.73,16.91,97.9,1
20240801,5,5.889,5.312,90.202,20.91,98.29,1
20240802,5,3.866,3.16,81.751,15.49,88.83,1
20240803,5,5.691,5.216,91.642,24.11,87.62,1
20240804,5,3.572,3.054,85.5,19.69,86.47,1
20240805,5,3.797,3.491,91.939,21.66,88.37,1
20240806,5,3.045,2.774,91.096,19.46,92.47,1
20240807,5,4.07,3.531,86.755,27.04,93.99,1
20240808,5,3.24,2.818,86.978,10.44,89.55,1
20240809,5,2.671,2.292,85.802,25.08,90.42,1
20240810,5,5.687,4.865,85.539,14.0,95.09,1
20240811,5,4.395,3.91,88.971,19.34,100.0,1
20240812,5,2.726,2.46,90.233,22.44,96.55,1
20240813,5,3.307,2.922,88.373,26.85,91.93,1
20240814,5,5.24,4.881,93.15,16.92,89.16,1
20240815,5,3.855,3.506,90.936,19.95,96.56,1
20240816,5,4.614,4.118,89.253,15.94,86.47,1
20240817,5,4.103,3.609,87.959,13.75,89.39,1
20240818,5,2.582,2.306,89.296,23.0,86.51,1
20240819,5,4.889,4.432,90.659,27.32,88.43,1
20240820,5,7.164,6.31,88.09,17.94,93.57,1
20240821,5,5.709,5.159,90.378,13.87,84.9,1
20240822,5,4.971,4.49,90.321,9.52,92.6,1
20240823,5,5.168,4.831,93.475,22.7,82.82,1
20240824,5,6.699,6.084,90.831,22.48,91.68,1
20240825,5,4.396,3.94,89.626,18.56,92.33,1
20240826,5,3.586,3.106,86.61,14.9,98.5,1
20240827,5,2.153,2.122,98.546,16.66,90.25,1
20240828,5,4.018,3.537,88.048,25.45,88.96,1
20240829,5,4.261,3.616,84.863,23.47,80.53,1
20240830,5,3.971,3.539,89.127,18.47,88.28,1
20240831,5,4.467,4.055,90.763,12.39,92.66,1
20240901,5,7.383,6.593,89.304,18.95,88.22,1
20240902,5,4.969,4.445,89.452,19.23,93.45,1
20240903,5,5.601,5.051,90.184,9.12,94.99,1
20240904,5,2.419,2.071,85.62,14.2,91.01,1
20240905,5,3.281,2.911,88.717,5.98,88.51,1
20240906,5,2.87,2.473,86.171,22.49,90.97,1
20240907,5,5.021,4.117,81.984,17.0,97.81,1
20240908,5,4.583,4.05,88.364,20.82,88.59,1
20240909,5,2.162,1.99,92.02,19.82,92.75,1
20240910,5,5.132,4.448,86.676,14.37,97.08,1
20240911,5,3.299,2.918,88.447,15.17,86.49,1
20240912,5,4.813,4.342,90.205,13.48,91.85,1
20240913,5,4.095,3.522,85.996,14.9,91.61,1
20240914,5,3.327,2.818,84.695,23.41,84.65,1
20240915,5,5.359,4.518,84.314,18.21,94.6,1
20240916,5,2.95,2.503,84.848,21.71,91.4,1
20240917,5,5.213,4.503,86.384,17.19,93.84,1
20240918,5,3.618,3.288,90.882,20.55,92.62,1
20240919,5,3.183,2.751,86.441,16.6,95.28,1
20240920,5,4.233,3.59,84.817,12.6,92.79,1
20240921,5,4.939,4.199,85.021,25.88,91.16,1
20240922,5,4.939,4.295,86.961,14.38,95.43,1
20240923,5,3.317,2.882,86.906,23.21,96.39,1
20240924,5,3.904,3.402,87.148,30.14,93.68,1
20240925,5,4.215,3.884,92.148,22.27,93.0,1
20240926,5,5.716,5.061,88.528,16.96,91.89,1
20240927,5,4.921,4.506,91.563,24.05,97.29,1
20240928,5,3.941,3.401,86.295,18.77,88.69,1
20240929,5,5.619,4.85,86.305,21.23,91.27,1
20240930,5,4.115,3.597,87.429,18.12,96.46,1
20241001,5,3.636,3.21,88.289,30.52,93.73,1
20241002,5,6.323,6.17,97.577,24.96,87.74,1
20241003,5,6.363,5.606,88.091,21.69,90.43,1
20241004,5,4.109,3.475,84.568,10.52,86.33,1
20241005,5,4.78,4.302,90.014,20.42,88.1,1
20241006,5,5.072,4.516,89.04,19.08,94.72,1
20241007,5,6.099,5.482,89.871,27.2,86.98,1
20241008,5,3.347,2.944,87.951,20.45,100.0,1
20241009,5,3.513,3.127,89.01,19.01,94.09,1
20241010,5,3.892,3.275,84.161,14.1,87.34,1
20241011,5,6.054,5.106,84.343,24.99,92.62,1
20241012,5,5.281,4.872,92.264,21.14,89.65,1
20241013,5,5.881,5.341,90.824,12.03,95.56,1
20241014,5,5.3,4.742,89.463,14.98,91.4,1
20241015,5,5.041,4.286,85.038,22.71,90.27,1
20241016,5,5.75,5.144,89.446,12.44,90.16,1
20241017,5,3.565,3.274,91.857,17.49,92.78,1
20241018,5,4.696,4.229,90.054,15.57,87.89,1
20241019,5,5.275,4.68,88.719,21.77,96.42,1
20241020,5,3.574,2.787,77.987,12.77,92.82,1
20241021,5,5.109,4.74,92.771,21.23,87.88,1
20241022,5,5.544,4.936,89.037,7.62,93.31,1
20241023,5,4.579,4.028,87.974,22.8,96.2,1
20241024,5,3.888,3.199,82.3,25.04,85.62,1
20241025,5,4.407,3.687,83.66,19.15,86.71,1
20241026,5,4.645,4.318,92.968,19.93,91.68,1
20241027,5,4.45,4.025,90.457,22.72,99.04,1
20241028,5,6.865,6.153,89.623,13.88,85.66,1
20241029,5,5.485,4.787,87.276,13.95,92.01,1
20241030,5,6.233,5.772,92.594,16.9,91.08,1
20241031,5,6.031,5.496,91.138,21.4,85.48,1
20241101,5,5.095,4.512,88.56,13.72,88.49,1
20241102,5,0.782,0.673,86.031,15.3,84.12,1
20241103,5,4.983,4.21,84.497,27.78,97.33,1
20241104,5,4.784,4.298,89.826,18.92,85.53,1
20241105,5,2.814,2.331,82.828,17.23,86.94,1
20241106,5,4.451,3.907,87.782,18.53,87.34,1
20241107,5,3.666,3.24,88.386,8.99,91.06,1
20241108,5,3.685,3.303,89.633,11.84,95.35,1
20241109,5,3.583,3.105,86.658,20.35,96.69,1
20241110,5,2.964,2.652,89.476,19.08,97.07,1
20241111,5,3.57,3.232,90.545,16.75,92.74,1
20241112,5,5.572,4.902,87.988,22.3,92.32,1
20241113,5,3.899,3.296,84.531,25.78,93.3,1
20241114,5,1.771,1.597,90.2,15.33,92.14,1
20241115,5,3.724,3.378,90.709,12.81,94.72,1
20241116,5,4.866,4.482,92.117,9.66,94.79,1
20241117,5,5.275,4.445,84.258,14.26,92.87,1
20241118,5,4.983,4.285,85.991,19.57,87.81,1
20241119,5,4.638,4.196,90.465,10.43,89.88,1
20241120,5,5.311,4.904,92.341,20.43,89.69,1
20241121,5,4.126,3.87,93.798,17.77,89.9,1
20241122,5,2.074,1.923,92.719,24.49,89.86,1
20241123,5,3.696,3.244,87.764,13.33,88.87,1
20241124,5,4.148,3.633,87.585,10.39,90.54,1
20241125,5,4.84,3.975,82.13,10.1,90.65,1
20241126,5,5.58,5.117,91.696,15.62,94.37,1
20241127,5,3.61,3.149,87.239,20.41,91.78,1
20241128,5,4.977,4.076,81.885,19.93,94.65,1
20241129,5,3.562,3.031,85.097,18.9,92.25,1
20241130,5,3.178,2.802,88.175,22.29,92.74,1
20241201,5,4.367,3.577,81.916,9.55,93.01,1
20241202,5,3.48,2.921,83.948,12.57,93.98,1
20241203,5,5.699,4.817,84.526,16.26,83.95,1
20241204,5,2.907,2.673,91.95,23.77,89.28,1
20241205,5,4.133,3.681,89.069,29.89,89.88,1
20241206,5,3.121,2.461,78.843,12.88,93.04,1
20241207,5,4.745,4.166,87.792,15.97,89.88,1
20241208,5,4.991,4.338,86.916,15.51,91.39,1
20241209,5,6.454,5.933,91.929,18.01,86.11,1
20241210,5,3.523,2.968,84.264,16.37,79.21,1
20241211,5,4.202,3.868,92.068,20.46,96.19,1
20241212,5,5.385,4.877,90.555,24.92,93.95,1
20241213,5,2.977,2.576,86.538,15.24,89.49,1
20241214,5,4.318,4.011,92.898,24.12,95.58,1
20241215,5,4.406,3.861,87.63,20.16,94.31,1
20241216,5,5.018,4.765,94.955,14.06,94.34,1
20241217,5,3.655,3.309,90.526,22.89,95.06,1
20241218,5,5.125,4.35,84.88,24.71,98.15,1
20241219,5,4.037,3.597,89.099,16.14,92.74,1
20241220,5,3.109,2.789,89.723,15.02,86.03,1
20241221,5,6.554,5.85,89.249,16.53,93.53,1
20241222,5,2.626,2.344,89.243,21.97,94.0,1
20241223,5,4.029,3.496,86.774,11.71,94.27,1
20241224,5,5.476,4.792,87.519,29.54,93.17,1
20241225,5,4.174,3.69,88.418,8.11,92.12,1
20241226,5,5.234,4.239,80.987,14.54,95.03,1
20241227,5,3.614,3.176,87.885,17.44,86.7,1
20241228,5,3.185,2.68,84.132,24.12,91.13,1
20241229,5,5.367,4.635,86.369,15.29,91.35,1
20241230,5,3.067,2.603,84.858,14.35,93.06,1
20241231,5,4.427,3.76,84.938,21.19,95.17,1
20250101,5,6.368,5.864,92.085,13.7,88.31,1
20250102,5,4.922,4.2,85.341,16.27,92.94,1
20250103,5,5.6,5.087,90.836,8.85,90.77,1
20250104,5,5.712,4.922,86.167,17.32,91.91,1
20250105,5,4.961,4.273,86.133,18.76,87.53,1
20250106,5,5.492,4.812,87.63,12.07,91.49,1
20250107,5,5.117,4.593,89.759,13.13,91.57,1
20250108,5,4.598,4.069,88.498,12.58,91.84,1
20250109,5,4.804,4.251,88.488,17.32,93.68,1
20250110,5,6.04,5.315,87.994,19.11,97.58,1
20250111,5,3.11,2.815,90.507,15.78,90.54,1
20250112,5,5.746,4.841,84.252,16.9,84.99,1
20250113,5,4.862,4.405,90.603,6.75,92.58,1
20250114,5,3.335,2.809,84.221,17.15,84.46,1
20250115,5,5.113,4.648,90.914,15.21,93.99,1
20250116,5,5.799,5.066,87.369,14.69,92.24,1
20250117,5,4.206,3.648,86.736,21.19,86.47,1
20250118,5,4.701,4.249,90.385,21.53,89.18,1
20250119,5,2.617,2.346,89.624,12.81,94.7,1
20250120,5,5.84,5.412,92.675,25.25,89.7,1
20250121,5,2.458,2.153,87.591,22.65,81.54,1
20250122,5,2.664,2.188,82.146,23.18,93.05,1
20250123,5,4.015,3.549,88.409,13.25,99.05,1
20250124,5,3.322,3.032,91.257,25.12,92.9,1
20250125,5,2.945,2.434,82.633,21.53,86.26,1
20250126,5,5.941,5.419,91.212,24.26,94.22,1
20250127,5,3.771,3.094,82.042,10.73,85.53,1
20250128,5,2.178,1.828,83.918,21.03,88.3,1
20250129,5,4.853,4.49,92.525,19.87,87.04,1
20250130,5,6.079,5.257,86.467,24.91,90.22,1
20250131,5,4.073,3.759,92.3,26.1,86.07,1
20250201,5,6.009,5.115,85.131,11.79,90.77,1
20250202,5,3.908,3.255,83.308,11.73,84.88,1
20250203,5,5.744,4.734,82.42,22.57,97.49,1
20250204,5,6.081,5.414,89.034,10.83,98.6,1
20250205,5,6.142,5.965,97.124,17.72,90.95,1
20250206,5,3.394,2.994,88.199,6.18,92.74,1
20250207,5,5.234,4.781,91.329,15.88,88.48,1
20250208,5,5.518,4.702,85.212,19.43,94.97,1
20250209,5,7.302,6.398,87.615,19.24,89.86,1
20250210,5,4.639,4.309,92.896,14.35,98.32,1
20250211,5,4.269,3.668,85.916,5.0,88.51,1
20250212,5,6.527,5.612,85.989,31.85,90.22,1
20250213,5,3.732,3.263,87.451,19.69,93.07,1
20250214,5,3.758,3.433,91.37,18.56,92.64,1
20250215,5,3.692,3.234,87.608,22.89,95.9,1
20250216,5,3.985,3.414,85.678,19.51,95.51,1
20250217,5,5.552,4.725,85.093,22.4,91.91,1
20250218,5,3.645,3.414,93.662,16.98,98.52,1
20250219,5,4.264,3.793,88.964,24.07,92.68,1
20250220,5,3.443,2.94,85.389,20.47,93.08,1
20250221,5,4.457,4.042,90.687,21.74,97.47,1
20250222,5,4.945,4.32,87.35,11.17,92.3,1
20250223,5,3.073,2.82,91.776,11.17,99.01,1
20250224,5,5.156,4.301,83.426,17.92,98.59,1
20250225,5,7.523,6.477,86.09,20.0,89.96,1
20250226,5,5.584,5.05,90.434,16.87,95.9,1
20250227,5,5.683,5.38,94.671,13.91,95.2,1
20250228,5,5.012,4.116,82.127,9.66,94.81,1
20250301,5,5.362,4.712,87.879,18.24,96.02,1
20250302,5,6.196,5.559,89.717,16.08,96.41,1
20250303,5,3.976,3.333,83.819,18.48,87.45,1
20250304,5,4.579,4.084,89.206,18.85,89.24,1
20250305,5,6.116,5.462,89.301,19.43,92.16,1
20250306,5,5.993,5.305,88.522,15.45,89.92,1
20250307,5,3.847,3.32,86.292,26.5,95.16,1
20250308,5,4.01,3.42,85.293,26.63,86.92,1
20250309,5,5.66,4.865,85.957,25.01,92.56,1
20250310,5,4.424,4.007,90.588,16.52,91.38,1
20250311,5,1.321,1.147,86.786,20.6,89.86,1
20250312,5,4.8,4.252,88.593,6.31,95.81,1
20250313,5,4.441,3.752,84.491,16.55,86.99,1
20250314,5,4.526,4.051,89.507,13.87,93.74,1
20250315,5,4.264,3.936,92.311,16.47,98.46,1
20250316,5,4.611,3.934,85.311,29.58,96.11,1
20250317,5,3.858,3.531,91.529,17.16,94.95,1
20250318,5,3.665,3.497,95.435,22.79,95.06,1
20250319,5,4.246,3.744,88.183,21.8,87.13,1
20250320,5,4.051,3.44,84.92,30.05,88.58,1
20250321,5,4.143,3.692,89.105,17.05,87.22,1
20250322,5,2.855,2.545,89.116,21.99,88.36,1
20250323,5,2.352,2.025,86.104,25.67,96.71,1
20250324,5,4.507,3.914,86.835,28.26,92.47,1
20250325,5,4.178,3.677,88.01,14.61,87.79,1
20250326,5,5.029,4.56,90.679,22.15,93.21,1
20250327,5,3.299,2.795,84.701,15.62,95.18,1
20250328,5,3.091,2.739,88.609,17.05,92.34,1
20250329,5,6.404,5.996,93.624,20.15,95.84,1
20250330,5,6.156,5.447,88.473,15.08,91.22,1
20250331,5,3.561,3.233,90.784,15.03,85.99,1
20250401,5,4.076,3.414,83.778,18.47,90.43,1
20250402,5,5.733,4.958,86.482,10.53,92.4,1
20250403,5,3.04,2.502,82.289,16.36,95.92,1
20250404,5,4.765,4.268,89.57,28.03,95.23,1
20250405,5,4.45,3.821,85.865,29.81,94.79,1
20250406,5,3.853,3.299,85.615,7.66,81.78,1
20250407,5,6.203,5.427,87.479,18.02,87.45,1
20250408,5,7.622,6.708,88.013,13.32,99.66,1
20250409,5,6.252,5.397,86.317,13.3,88.92,1
20250410,5,4.111,3.738,90.928,23.35,90.07,1
20250411,5,3.639,3.194,87.754,27.06,89.88,1
20250412,5,5.121,4.55,88.853,15.09,90.88,1
20250413,5,3.292,3.028,91.966,16.19,85.54,1
20250414,5,5.559,4.613,82.974,13.65,92.71,1
20250415,5,4.532,3.965,87.494,21.19,82.98,1
20250416,5,3.315,2.862,86.354,19.88,92.2,1
20250417,5,5.037,4.552,90.373,20.41,82.13,1
20250418,5,4.513,3.897,86.34,22.6,93.05,1
20250419,5,3.448,3.179,92.206,19.85,96.59,1
20250420,5,3.032,2.864,94.465,18.74,93.14,1
20250421,5,4.636,4.157,89.658,17.87,95.71,1
20250422,5,3.009,2.741,91.105,12.98,88.74,1
20250423,5,4.424,3.832,86.633,20.85,93.52,1
20250424,5,3.936,3.478,88.364,21.83,90.06,1
20250425,5,5.088,4.587,90.152,19.29,90.86,1
20250426,5,5.112,4.613,90.247,17.39,94.65,1
20250427,5,3.12,2.793,89.505,12.5,93.81,1
20250428,5,5.516,4.88,88.469,19.07,91.48,1
20250429,5,5.617,5.206,92.676,16.85,91.79,1
20250430,5,5.229,4.392,83.98,11.23,95.45,1
20250501,5,2.851,2.642,92.66,24.54,83.67,1
20250502,5,6.372,5.672,89.019,10.13,94.42,1
20250503,5,3.909,3.482,89.075,20.22,93.32,1
20250504,5,4.895,4.31,88.063,19.76,87.11,1
20250505,5,3.136,2.725,86.906,10.18,97.57,1
20250506,5,4.351,3.942,90.605,19.53,94.55,1
20250507,5,3.687,3.39,91.933,21.46,87.1,1
20250508,5,4.684,4.011,85.64,27.06,90.44,1
