MonthDateKey,CurrencyCode,CurrencyName,RateToZAR,IsSynthetic
20240701,ZAR,South African Rand,1.0,1
20240701,USD,US Dollar,18.437371,1
20240701,EUR,Euro,19.798995,1
20240701,GBP,Pound Sterling,23.980906,1
20240701,EGP,Egyptian Pound,0.383826,1
20240701,KES,Kenyan Shilling,0.142087,1
20240701,MZN,Mozambican Metical,0.29368,1
20240701,XAF,Central African CFA Franc,0.029916,1
20240701,TZS,Tanzanian Shilling,0.007187,1
20240701,XOF,West African CFA Franc,0.030001,1
20240801,ZAR,South African Rand,1.0,1
20240801,USD,US Dollar,18.384912,1
20240801,EUR,Euro,19.537308,1
20240801,GBP,Pound Sterling,22.799357,1
20240801,EGP,Egyptian Pound,0.369374,1
20240801,KES,Kenyan Shilling,0.137446,1
20240801,MZN,Mozambican Metical,0.284282,1
20240801,XAF,Central African CFA Franc,0.029364,1
20240801,TZS,Tanzanian Shilling,0.007098,1
20240801,XOF,West African CFA Franc,0.0292,1
20240901,ZAR,South African Rand,1.0,1
20240901,USD,US Dollar,17.816405,1
20240901,EUR,Euro,19.245848,1
20240901,GBP,Pound Sterling,22.641427,1
20240901,EGP,Egyptian Pound,0.369603,1
20240901,KES,Kenyan Shilling,0.137567,1
20240901,MZN,Mozambican Metical,0.282249,1
20240901,XAF,Central African CFA Franc,0.028739,1
20240901,TZS,Tanzanian Shilling,0.007048,1
20240901,XOF,West African CFA Franc,0.029361,1
20241001,ZAR,South African Rand,1.0,1
20241001,USD,US Dollar,17.976607,1
20241001,EUR,Euro,19.686917,1
20241001,GBP,Pound Sterling,22.495779,1
20241001,EGP,Egyptian Pound,0.37225,1
20241001,KES,Kenyan Shilling,0.137572,1
20241001,MZN,Mozambican Metical,0.28181,1
20241001,XAF,Central African CFA Franc,0.028731,1
20241001,TZS,Tanzanian Shilling,0.007078,1
20241001,XOF,West African CFA Franc,0.029375,1
20241101,ZAR,South African Rand,1.0,1
20241101,USD,US Dollar,18.009664,1
20241101,EUR,Euro,19.711861,1
20241101,GBP,Pound Sterling,22.593135,1
20241101,EGP,Egyptian Pound,0.373384,1
20241101,KES,Kenyan Shilling,0.135912,1
20241101,MZN,Mozambican Metical,0.277604,1
20241101,XAF,Central African CFA Franc,0.028919,1
20241101,TZS,Tanzanian Shilling,0.007042,1
20241101,XOF,West African CFA Franc,0.029287,1
20241201,ZAR,South African Rand,1.0,1
20241201,USD,US Dollar,18.154595,1
20241201,EUR,Euro,19.742205,1
20241201,GBP,Pound Sterling,23.19536,1
20241201,EGP,Egyptian Pound,0.383268,1
20241201,KES,Kenyan Shilling,0.137351,1
20241201,MZN,Mozambican Metical,0.288622,1
20241201,XAF,Central African CFA Franc,0.029744,1
20241201,TZS,Tanzanian Shilling,0.007101,1
20241201,XOF,West African CFA Franc,0.02916,1
20250101,ZAR,South African Rand,1.0,1
20250101,USD,US Dollar,18.546035,1
20250101,EUR,Euro,19.881821,1
20250101,GBP,Pound Sterling,23.193051,1
20250101,EGP,Egyptian Pound,0.380992,1
20250101,KES,Kenyan Shilling,0.138687,1
20250101,MZN,Mozambican Metical,0.288351,1
20250101,XAF,Central African CFA Franc,0.029823,1
20250101,TZS,Tanzanian Shilling,0.007203,1
20250101,XOF,West African CFA Franc,0.03018,1
20250201,ZAR,South African Rand,1.0,1
20250201,USD,US Dollar,18.738172,1
20250201,EUR,Euro,20.321653,1
20250201,GBP,Pound Sterling,23.575843,1
20250201,EGP,Egyptian Pound,0.383469,1
20250201,KES,Kenyan Shilling,0.141446,1
20250201,MZN,Mozambican Metical,0.295185,1
20250201,XAF,Central African CFA Franc,0.030933,1
20250201,TZS,Tanzanian Shilling,0.007218,1
20250201,XOF,West African CFA Franc,0.030522,1
20250301,ZAR,South African Rand,1.0,1
20250301,USD,US Dollar,18.949235,1
20250301,EUR,Euro,20.422014,1
20250301,GBP,Pound Sterling,24.275001,1
20250301,EGP,Egyptian Pound,0.380654,1
20250301,KES,Kenyan Shilling,0.142047,1
20250301,MZN,Mozambican Metical,0.300695,1
20250301,XAF,Central African CFA Franc,0.031129,1
20250301,TZS,Tanzanian Shilling,0.007514,1
20250301,XOF,West African CFA Franc,0.030871,1
20250401,ZAR,South African Rand,1.0,1
20250401,USD,US Dollar,18.710328,1
20250401,EUR,Euro,20.600587,1
20250401,GBP,Pound Sterling,24.232937,1
20250401,EGP,Egyptian Pound,0.389546,1
20250401,KES,Kenyan Shilling,0.144071,1
20250401,MZN,Mozambican Metical,0.302273,1
20250401,XAF,Central African CFA Franc,0.031337,1
20250401,TZS,Tanzanian Shilling,0.007434,1
20250401,XOF,West African CFA Franc,0.030885,1
20250501,ZAR,South African Rand,1.0,1
20250501,USD,US Dollar,18.9123,1
20250501,EUR,Euro,20.728426,1
20250501,GBP,Pound Sterling,23.885124,1
20250501,EGP,Egyptian Pound,0.392723,1
20250501,KES,Kenyan Shilling,0.14361,1
20250501,MZN,Mozambican Metical,0.295739,1
20250501,XAF,Central African CFA Franc,0.030887,1
20250501,TZS,Tanzanian Shilling,0.007359,1
20250501,XOF,West African CFA Franc,0.031078,1
20250601,ZAR,South African Rand,1.0,1
20250601,USD,US Dollar,18.819065,1
20250601,EUR,Euro,20.153583,1
20250601,GBP,Pound Sterling,24.032066,1
20250601,EGP,Egyptian Pound,0.388416,1
20250601,KES,Kenyan Shilling,0.142037,1
20250601,MZN,Mozambican Metical,0.294306,1
20250601,XAF,Central African CFA Franc,0.030955,1
20250601,TZS,Tanzanian Shilling,0.007363,1
20250601,XOF,West African CFA Franc,0.030223,1
20250701,ZAR,South African Rand,1.0,1
20250701,USD,US Dollar,18.395892,1
20250701,EUR,Euro,20.0306,1
20250701,GBP,Pound Sterling,22.909013,1
20250701,EGP,Egyptian Pound,0.383097,1
20250701,KES,Kenyan Shilling,0.139062,1
20250701,MZN,Mozambican Metical,0.289398,1
20250701,XAF,Central African CFA Franc,0.029582,1
20250701,TZS,Tanzanian Shilling,0.007213,1
20250701,XOF,West African CFA Franc,0.030021,1
20250801,ZAR,South African Rand,1.0,1
20250801,USD,US Dollar,18.228535,1
20250801,EUR,Euro,19.646963,1
20250801,GBP,Pound Sterling,23.335403,1
20250801,EGP,Egyptian Pound,0.371608,1
20250801,KES,Kenyan Shilling,0.138571,1
20250801,MZN,Mozambican Metical,0.281386,1
20250801,XAF,Central African CFA Franc,0.029574,1
20250801,TZS,Tanzanian Shilling,0.007118,1
20250801,XOF,West African CFA Franc,0.029672,1
20250901,ZAR,South African Rand,1.0,1
20250901,USD,US Dollar,18.339733,1
20250901,EUR,Euro,19.408268,1
20250901,GBP,Pound Sterling,22.904776,1
20250901,EGP,Egyptian Pound,0.368931,1
20250901,KES,Kenyan Shilling,0.13519,1
20250901,MZN,Mozambican Metical,0.279021,1
20250901,XAF,Central African CFA Franc,0.028946,1
20250901,TZS,Tanzanian Shilling,0.007056,1
20250901,XOF,West African CFA Franc,0.029619,1
20251001,ZAR,South African Rand,1.0,1
20251001,USD,US Dollar,17.883021,1
20251001,EUR,Euro,19.274342,1
20251001,GBP,Pound Sterling,22.736434,1
20251001,EGP,Egyptian Pound,0.364643,1
20251001,KES,Kenyan Shilling,0.137037,1
20251001,MZN,Mozambican Metical,0.282372,1
20251001,XAF,Central African CFA Franc,0.02881,1
20251001,TZS,Tanzanian Shilling,0.007091,1
20251001,XOF,West African CFA Franc,0.028738,1
20251101,ZAR,South African Rand,1.0,1
20251101,USD,US Dollar,18.173604,1
20251101,EUR,Euro,19.627251,1
20251101,GBP,Pound Sterling,22.645801,1
20251101,EGP,Egyptian Pound,0.368561,1
20251101,KES,Kenyan Shilling,0.135025,1
20251101,MZN,Mozambican Metical,0.2831,1
20251101,XAF,Central African CFA Franc,0.029467,1
20251101,TZS,Tanzanian Shilling,0.006875,1
20251101,XOF,West African CFA Franc,0.029387,1
20251201,ZAR,South African Rand,1.0,1
20251201,USD,US Dollar,18.205298,1
20251201,EUR,Euro,19.487034,1
20251201,GBP,Pound Sterling,22.904203,1
20251201,EGP,Egyptian Pound,0.381871,1
20251201,KES,Kenyan Shilling,0.137426,1
20251201,MZN,Mozambican Metical,0.285618,1
20251201,XAF,Central African CFA Franc,0.029276,1
20251201,TZS,Tanzanian Shilling,0.007278,1
20251201,XOF,West African CFA Franc,0.02969,1
